File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/2222-2222-2222-2222-2222_rounding_l_4000.csv,Error,2221,2222,2221,2222,2221,2222,2221
/data/csv_files/2000000-124691-2000000-1500025-152931_star_intersections_8_s_2000.csv,25405,500330,12997,499330,2186284,1995008,1999000,1995008
/data/csv_files/2000000-107339-2000000-1461550-132721_star_intersections_7_l_2000.csv,24518,487978,10529,486978,2173400,1999000,1999000,1999000
/data/csv_files/2839965-2839965-2839965-2839965-2839965_clustered_xxxxxxxl_1.csv,2839965,2839965,2839965,2839965,2839965,2839965,2839965,2839965
/data/csv_files/1-1-1-1-1_parallel_and_collinear_10.csv,1,1,1,1,1,1,1,1
/data/csv_files/469702-469702-469702-469702-469702_random_l_2000.csv,469702,468262,469702,468262,469702,468262,469702,468262
/data/csv_files/6243920-6237301-6243920-6237300-6237300_star_intersections_6_s_5000.csv,6235608,6235608,6235607,6235607,6243918,6243918,6243918,6243918
/data/csv_files/1017289-1017289-1017289-1017289-1017289_clustered_xxxl_1.csv,1017289,1017289,1017289,1017289,1017289,1017289,1017289,1017289
/data/csv_files/2891750-2891750-2891750-2891750-2891750_random_l_5000.csv,2891750,2885874,2891750,2885874,2891750,2885874,2891750,2885874
/data/csv_files/2778-2778-2778-2778-2778_rounding_l_5000.csv,Error,2778,2778,2778,2778,2778,2778,2778
/data/csv_files/8000000-302557-8000000-5837259-372742_star_intersections_7_l_4000.csv,70290,1947249,23689,1945249,8842836,7998000,7998000,7998000
/data/csv_files/2262532-2261787-2262532-2261787-2261787_star_intersections_6_s_3000.csv,2261858,2261858,2261858,2261858,2262532,2262532,2262532,2262532
/data/csv_files/3-2-3-2-2_star_intersections_1.csv,1,1,1,1,3,3,3,3
/data/csv_files/464701-2510-499500-501-501_star_intersections_4_m_1000.csv,1,1,1,1,520187,499500,499484,499500
/data/csv_files/443323-443323-443323-443323-443323_random_s_2000.csv,443323,443323,443323,443323,443323,443323,443323,443323
/data/csv_files/12500000-438565-12500000-9157240-544812_star_intersections_7_l_5000.csv,98048,3054260,31200,3051760,13092608,12497500,12497500,12497500
/data/csv_files/750-742-750-742-742_star_intersections_9_1500.csv,750,750,750,750,751,750,750,750
/data/csv_files/6000-5866-6000-5935-5880_star_intersections_10_2000.csv,6000,5993,6000,5993,6006,5993,6000,5993
/data/csv_files/10500-10466-10500-10474-10467_star_intersections_10_3500.csv,10500,10474,10500,10474,10505,10474,10500,10474
/data/csv_files/92660-92660-92660-92660-92660_clustered_xl_5.csv,92660,92660,92660,92660,92660,92660,92660,92660
/data/csv_files/115125-115125-115125-115125-115125_random_s_1000.csv,115125,115125,115125,115125,115125,115125,115125,115125
/data/csv_files/2000000-106098-2000000-1461149-126885_star_intersections_7_m_2000.csv,22096,485925,9690,484925,2186704,1991016,1999000,1991016
/data/csv_files/1750-1743-1750-1743-1743_star_intersections_9_3500.csv,1750,1747,1750,1747,1750,1747,1750,1747
/data/csv_files/0-0-0-0-0_parallel_and_collinear_13.csv,0,0,0,0,0,0,0,0
/data/csv_files/0-0-0-0-0_parallel_and_collinear_1.csv,0,0,0,0,0,0,0,0
/data/csv_files/2214179-2214179-2214179-2214179-2214179_star_intersections_6_l_3000.csv,2214179,2214179,2214179,2214179,2214179,2214179,2214179,2214179
/data/csv_files/2500-2493-2500-2494-2493_star_intersections_9_5000.csv,2500,2500,2500,2500,2502,2500,2500,2500
/data/csv_files/0-0-0-0-0_accuracy_2.csv,Error,0,0,0,0,0,0,0
/data/csv_files/555-555-555-555-555_rounding_s_1000.csv,Error,1,555,1,555,1,555,1
/data/csv_files/11589358-26666-12497500-2501-2501_star_intersections_4_s_5000.csv,1,1,1,1,12858147,12497500,12497377,12497500
/data/csv_files/11609287-26363-12497500-2501-2501_star_intersections_4_m_5000.csv,1,1,1,1,13052588,12497500,12497397,12497500
/data/csv_files/4500000-197926-4500000-3325808-248674_star_intersections_7_l_3000.csv,46844,1109790,17022,1108290,3976012,4498500,4498500,4498500
/data/csv_files/2-2-2-2-2_parallel_and_collinear_5.csv,2,2,1,1,1,1,1,1
/data/csv_files/7416835-19021-7998000-2001-2001_star_intersections_4_s_4000.csv,1,1,1,1,8215162,7998000,7997911,7998000
/data/csv_files/4500000-196292-4500000-3323410-236614_star_intersections_7_m_3000.csv,39229,1106046,15809,1104546,4112364,4486512,4498500,4486512
/data/csv_files/12500000-435305-12500000-9168192-530025_star_intersections_7_s_5000.csv,Error,3053143,31937,3050643,13467424,12477516,12497500,12477516
/data/csv_files/2778-2778-2778-2778-2778_rounding_m_5000.csv,Error,1,2778,1,2778,1,2778,1
/data/csv_files/500000-37977-500000-365559-46195_star_intersections_7_s_1000.csv,Error,121318,4534,120818,536548,495516,499500,495516
/data/csv_files/0-0-0-0-0_parallel_and_collinear_6.csv,0,0,0,0,0,0,0,0
/data/csv_files/2222-2222-2222-2222-2222_rounding_m_4000.csv,Error,1,2222,1,2222,1,2222,1
/data/csv_files/7500-7440-7500-7458-7444_star_intersections_10_2500.csv,7498,7498,7498,7498,7504,7500,7500,7500
/data/csv_files/0-0-0-0-0_multi_axis_1.csv,0,0,0,0,0,0,0,0
/data/csv_files/4173105-12497-4498500-1501-1501_star_intersections_4_s_3000.csv,1,1,1,1,4663769,4498500,4498448,4498500
/data/csv_files/2-2-2-2-2_parallel_and_collinear_3.csv,2,2,1,1,1,1,1,1
/data/csv_files/9000-8966-9000-8973-8961_star_intersections_10_3000.csv,9000,9000,9000,9000,9001,9000,9000,9000
/data/csv_files/1857478-6799-1999000-1001-1001_star_intersections_4_m_2000.csv,1,1,1,1,2082574,1999000,1998961,1999000
