File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/1-1-1-1-1_parallel_and_collinear_10.csv,0,0,0,0,0,0,0,0
/data/csv_files/469702-469702-469702-469702-469702_random_l_2000.csv,1539,2955,986,2754,90,215,122,235
/data/csv_files/6243920-6237301-6243920-6237300-6237300_star_intersections_6_s_5000.csv,36402,56578,22490,42950,387,991,764,1556
/data/csv_files/1017289-1017289-1017289-1017289-1017289_clustered_xxxl_1.csv,3957,6965,2717,6561,212,480,277,535
/data/csv_files/2891750-2891750-2891750-2891750-2891750_random_l_5000.csv,14369,22252,9291,20762,578,1331,769,1484
/data/csv_files/2778-2778-2778-2778-2778_rounding_l_5000.csv,Error,42,1286,9890,16,34,522,1064
/data/csv_files/8000000-302557-8000000-5837259-372742_star_intersections_7_l_4000.csv,207,39934,3687,101788,600,8562,547,1325
/data/csv_files/2262532-2261787-2262532-2261787-2261787_star_intersections_6_s_3000.csv,11699,19428,6129,13407,154,382,275,559
/data/csv_files/3-2-3-2-2_star_intersections_1.csv,0,0,0,0,0,0,0,0
/data/csv_files/464701-2510-499500-501-501_star_intersections_4_m_1000.csv,3,12,93,2154,17,29,36,718
/data/csv_files/443323-443323-443323-443323-443323_random_s_2000.csv,1267,2514,892,2597,88,207,123,237
/data/csv_files/12500000-438565-12500000-9157240-544812_star_intersections_7_l_5000.csv,256,64115,5772,167831,909,19008,855,2066
/data/csv_files/750-742-750-742-742_star_intersections_9_1500.csv,8,13,113,322,7,15,48,94
/data/csv_files/6000-5866-6000-5935-5880_star_intersections_10_2000.csv,20,41,206,593,10,22,85,168
/data/csv_files/10500-10466-10500-10474-10467_star_intersections_10_3500.csv,35,71,626,1791,19,40,260,515
/data/csv_files/92660-92660-92660-92660-92660_clustered_xl_5.csv,202,442,296,916,27,59,99,193
/data/csv_files/115125-115125-115125-115125-115125_random_s_1000.csv,278,594,168,613,24,57,30,59
/data/csv_files/2000000-106098-2000000-1461149-126885_star_intersections_7_m_2000.csv,59,6443,832,21639,157,961,137,336
/data/csv_files/1750-1743-1750-1743-1743_star_intersections_9_3500.csv,19,34,618,1761,18,38,261,513
/data/csv_files/0-0-0-0-0_parallel_and_collinear_13.csv,0,0,0,0,0,0,0,0
/data/csv_files/0-0-0-0-0_parallel_and_collinear_1.csv,0,0,0,0,0,0,0,0
/data/csv_files/2214179-2214179-2214179-2214179-2214179_star_intersections_6_l_3000.csv,9739,18188,6267,12735,151,439,274,556
/data/csv_files/2500-2493-2500-2494-2493_star_intersections_9_5000.csv,27,49,1267,3617,27,56,531,1050
/data/csv_files/0-0-0-0-0_accuracy_2.csv,Error,0,0,0,0,0,0,0
/data/csv_files/555-555-555-555-555_rounding_s_1000.csv,Error,6,51,393,3,6,20,42
/data/csv_files/11589358-26666-12497500-2501-2501_star_intersections_4_s_5000.csv,18,73,2344,51641,396,586,918,18070
/data/csv_files/11609287-26363-12497500-2501-2501_star_intersections_4_m_5000.csv,19,73,2358,53705,403,587,917,18063
/data/csv_files/4500000-197926-4500000-3325808-248674_star_intersections_7_l_3000.csv,124,16239,1937,52966,272,9111,308,746
/data/csv_files/2-2-2-2-2_parallel_and_collinear_5.csv,0,0,0,0,0,0,0,0
/data/csv_files/7416835-19021-7998000-2001-2001_star_intersections_4_s_4000.csv,15,60,1498,32922,246,377,588,11551
/data/csv_files/4500000-196292-4500000-3323410-236614_star_intersections_7_m_3000.csv,105,15988,1927,52065,277,9114,307,755
/data/csv_files/12500000-435305-12500000-9168192-530025_star_intersections_7_s_5000.csv,Error,56710,5573,156966,926,10801,855,2089
/data/csv_files/2778-2778-2778-2778-2778_rounding_m_5000.csv,Error,29,1291,9897,15,33,522,1059
/data/csv_files/500000-37977-500000-365559-46195_star_intersections_7_s_1000.csv,Error,1256,206,4642,43,278,34,84
/data/csv_files/0-0-0-0-0_parallel_and_collinear_6.csv,0,0,0,0,0,0,0,0
/data/csv_files/2222-2222-2222-2222-2222_rounding_m_4000.csv,Error,23,821,6322,12,27,334,678
/data/csv_files/7500-7440-7500-7458-7444_star_intersections_10_2500.csv,24,49,321,918,13,28,133,263
/data/csv_files/0-0-0-0-0_multi_axis_1.csv,0,0,0,0,0,0,0,0
/data/csv_files/4173105-12497-4498500-1501-1501_star_intersections_4_s_3000.csv,10,41,842,18551,151,212,330,6507
/data/csv_files/2-2-2-2-2_parallel_and_collinear_3.csv,0,0,0,0,0,0,0,0
/data/csv_files/9000-8966-9000-8973-8961_star_intersections_10_3000.csv,30,61,461,1316,17,34,191,377
/data/csv_files/1857478-6799-1999000-1001-1001_star_intersections_4_m_2000.csv,6,26,374,8576,66,103,147,2886
/data/csv_files/1-1-1-1-1_length_0_3.csv,0,0,0,0,0,0,0,0
/data/csv_files/2985982-2985982-2985982-2985982-2985982_random_m_5000.csv,13225,20592,9025,20244,586,1343,772,1501
/data/csv_files/117662-117662-117662-117662-117662_clustered_m_1.csv,298,585,166,588,25,57,31,59
/data/csv_files/3-2-3-2-2_parallel_and_collinear_11.csv,0,0,0,0,0,0,0,0
/data/csv_files/2250-2241-2250-2241-2241_star_intersections_9_4500.csv,25,45,1027,2917,24,49,430,850
/data/csv_files/1-1-1-1-1_multi_axis_6.csv,0,0,0,0,0,0,0,0
/data/csv_files/764463-764463-764463-764463-764463_clustered_xxxxxxxl_5.csv,2100,4325,2421,7054,164,377,625,1219
/data/csv_files/116711-116711-116711-116711-116711_random_m_1000.csv,278,584,167,593,25,58,31,59
/data/csv_files/21000-20986-21000-20987-20984_star_intersections_10_7000.csv,73,147,2497,7112,41,82,1043,2063
/data/csv_files/22500-22461-22500-22470-22462_star_intersections_10_7500.csv,78,160,2870,8180,45,92,1196,2366
/data/csv_files/84947-84947-84947-84947-84947_clustered_xl_10.csv,186,412,294,892,25,54,102,198
/data/csv_files/139488-139488-139488-139488-139488_clustered_xxxl_10.csv,321,714,639,1856,41,90,223,433
/data/csv_files/3500-3493-3500-3494-3493_star_intersections_9_7000.csv,41,73,2483,7047,40,79,1043,2051
/data/csv_files/2000000-122072-2000000-1500272-148870_star_intersections_8_m_2000.csv,63,6876,869,22425,154,3181,137,403
/data/csv_files/4500000-195758-4500000-3326458-238153_star_intersections_7_s_3000.csv,113,16526,1944,50853,260,9539,308,757
/data/csv_files/1000-995-1000-995-995_star_intersections_9_2000.csv,10,19,203,574,10,21,85,167
/data/csv_files/4500000-228550-4500000-3375065-289468_star_intersections_8_l_3000.csv,132,16606,1970,83153,271,8540,321,813
/data/csv_files/1667-1667-1667-1667-1667_rounding_l_3000.csv,Error,27,465,3581,9,21,189,383
/data/csv_files/2000000-106391-2000000-1458868-128881_star_intersections_7_s_2000.csv,69,6629,847,21598,156,1016,136,331
/data/csv_files/12500000-497588-12500000-9374063-606042_star_intersections_8_m_5000.csv,262,58346,5713,280161,1024,11664,862,2277
/data/csv_files/2000-1982-2000-1980-1980_star_intersections_9_4000.csv,23,41,813,2311,21,43,341,672
/data/csv_files/1084203-1084203-1084203-1084203-1084203_random_s_3000.csv,3823,7690,2710,7544,217,503,279,542
/data/csv_files/0-0-0-0-0_multi_axis_2.csv,0,0,0,0,0,0,0,0
/data/csv_files/981917-981580-981917-981580-981580_star_intersections_6_s_2000.csv,4594,8034,2375,5451,69,172,121,247
/data/csv_files/2294655-2294655-2294655-2294655-2294655_star_intersections_6_m_3000.csv,14689,20441,6486,13958,155,390,276,563
/data/csv_files/1-1-2-2-2_accuracy_8.csv,Error,0,0,0,0,0,0,0
/data/csv_files/2220-2220-2220-2220-2220_rounding_s_4000.csv,Error,25,823,6303,12,28,333,680
/data/csv_files/1895903-1895903-1895903-1895903-1895903_random_s_4000.csv,8883,15480,5518,12710,369,853,497,964
/data/csv_files/0-0-0-0-0_parallel_and_collinear_19.csv,0,0,0,0,0,0,0,0
/data/csv_files/8000000-350292-8000000-5999154-429994_star_intersections_8_s_4000.csv,207,42756,3691,119125,603,6232,547,1478
/data/csv_files/1853540-6861-1999000-1001-1001_star_intersections_4_s_2000.csv,7,28,375,8258,64,102,147,2891
/data/csv_files/6349478-6349478-6349478-6349478-6349478_star_intersections_6_l_5000.csv,37527,55172,22343,43476,398,1135,766,1561
/data/csv_files/19500-19459-19500-19461-19461_star_intersections_10_6500.csv,68,136,2155,6134,38,80,898,1776
/data/csv_files/1005993-1005993-1005993-1005993-1005993_star_intersections_6_m_2000.csv,3007,6361,2175,5519,71,180,122,248
/data/csv_files/4178686-12323-4498500-1501-1501_star_intersections_4_m_3000.csv,10,45,844,19311,151,212,332,6536
/data/csv_files/1-1-1-1-1_star_intersections_5.csv,0,0,0,0,0,0,0,0
/data/csv_files/120169-120169-120169-120169-120169_random_l_1000.csv,324,670,182,643,25,58,31,59
/data/csv_files/1500-1485-1500-1489-1484_star_intersections_10_500.csv,4,9,13,39,2,5,5,10
/data/csv_files/4-3-4-3-3_parallel_and_collinear_8.csv,0,0,0,0,0,0,0,0
/data/csv_files/3-2-3-2-2_multi_axis_5.csv,0,0,0,0,0,0,0,0
/data/csv_files/1665-1665-1665-1665-1665_rounding_s_3000.csv,Error,19,464,3549,9,22,189,384
/data/csv_files/1500-1495-1500-1495-1495_star_intersections_9_3000.csv,16,30,457,1327,16,32,191,380
/data/csv_files/1667-1667-1667-1667-1667_rounding_m_3000.csv,Error,21,467,3677,9,20,190,392
/data/csv_files/13500-13464-13500-13466-13464_star_intersections_10_4500.csv,60,132,1097,2952,25,52,431,913
/data/csv_files/255428-255370-255428-255370-255370_star_intersections_6_s_1000.csv,1205,1585,390,1184,21,51,30,62
/data/csv_files/1-1-1-1-1_multi_axis_3.csv,0,0,0,0,0,0,0,0
/data/csv_files/2846973-2846973-2846973-2846973-2846973_random_s_5000.csv,14162,24608,9247,21717,572,1342,769,1491
/data/csv_files/3996408-3996408-3996408-3996408-3996408_star_intersections_6_l_4000.csv,24043,39301,13154,27848,249,737,489,992
/data/csv_files/461035-461035-461035-461035-461035_random_m_2000.csv,1606,2955,979,2787,89,210,124,239
/data/csv_files/6251163-6251163-6251163-6251163-6251163_star_intersections_6_m_5000.csv,37412,59290,21694,41682,387,998,764,1550
/data/csv_files/7428740-18900-7998000-2001-2001_star_intersections_4_m_4000.csv,15,57,1502,34531,254,386,595,11694
/data/csv_files/248267-248267-248267-248267-248267_star_intersections_6_l_1000.csv,818,1327,332,1100,21,66,30,61
/data/csv_files/1890805-7509-1999000-1001-1001_star_intersections_4_l_2000.csv,7,29,375,8697,65,87,147,2897
