File,Bo_d,Boost_d,Boost_r,Cgal_intersector_ud,Cgal_arrangement_ud,Cgal_intersector_ur,Cgal_arrangement_ur,Cgal_pairwise_ud,Cgal_pairwise_ur,Geo_d,Ogdf_ud,Sweeper
./tests/2250-2241-2250-2241-2241_star_intersections_9_4500.csv,Error,2250,2250,11230,2240,11230,2240,2250,2250,2250,2240,Error
./tests/2262532-2261787-2262532-2261787-2261787_star_intersections_6_s_3000.csv,Error,2262533,2262533,2266327,2261194,2266327,2261194,2261858,2261858,Error,2261655,Error
./tests/8000000-350292-8000000-5999154-429994_star_intersections_8_s_4000.csv,Error,3370756,3370317,2002216,1998216,2002216,1998216,2002216,2002216,Error,834870,Error
./tests/23790-23790-23790-23790-23790_clustered_m_5.csv,Error,63387,63387,25790,23790,25790,23790,23790,23790,23790,23790,Error
./tests/323970-323970-323970-323970-323970_clustered_xxxxxl_10.csv,Error,699946,699946,331970,323970,331970,323970,323970,323970,323970,323970,Error
./tests/3000-2988-3000-2988-2988_star_intersections_9_6000.csv,Error,3000,3000,14974,2987,14974,2987,3000,3000,3000,2987,Error
./tests/2985982-2985982-2985982-2985982-2985982_random_m_5000.csv,Error,2754416,2754416,2995982,2985982,2995982,2985982,2985982,2985982,2985982,2985982,Error
./tests/0-0-0-0-0_parallel_and_collinear_1.csv,Error,2,0,4,0,4,0,0,0,0,0,Error
./tests/4173105-12497-4498500-1501-1501_star_intersections_4_s_3000.csv,Error,4501482,5059501,3001,1,3001,1,1,1,4498500,0,Error
./tests/2000-1982-2000-1980-1980_star_intersections_9_4000.csv,Error,2000,2000,9970,1985,9970,1985,2000,2000,2000,1985,Error
./tests/9000-8966-9000-8973-8961_star_intersections_10_3000.csv,Error,9000,9000,14972,8986,14972,8986,9000,9000,9000,8986,Error
./tests/4-3-4-3-3_parallel_and_collinear_8.csv,Error,2,2,5,1,5,1,3,3,4,4,Error
./tests/21000-20986-21000-20987-20984_star_intersections_10_7000.csv,Error,21000,21000,34972,20986,34972,20986,21000,21000,21000,20986,Error
./tests/764463-764463-764463-764463-764463_clustered_xxxxxxxl_5.csv,Error,1764281,1764281,774463,764463,774463,764463,764463,764463,764463,764463,Error
./tests/7500-7440-7500-7458-7444_star_intersections_10_2500.csv,Error,7500,7500,12435,7468,12435,7468,7498,7498,7500,7467,Error
./tests/11589358-26666-12497500-2501-2501_star_intersections_4_s_5000.csv,Error,12506308,14057501,5001,1,5001,1,1,1,12497500,0,Error
./tests/1895903-1895903-1895903-1895903-1895903_random_s_4000.csv,Error,1757806,1757806,1903903,1895903,1903903,1895903,1895903,1895903,1895903,1895903,Error
./tests/6243920-6237301-6243920-6237300-6237300_star_intersections_6_s_5000.csv,Error,6243920,6243920,6241749,6234109,6241749,6234109,6235608,6235608,Error,6246323,Error
./tests/3940075-3938530-3940075-3938529-3938529_star_intersections_6_s_4000.csv,Error,3940075,3940075,3943792,3937296,3943792,3937296,3938343,3938343,Error,3938544,Error
./tests/0-0-0-0-0_parallel_and_collinear_6.csv,Error,0,0,4,0,4,0,0,0,0,0,Error
./tests/1-1-1-1-1_accuracy_1.csv,Error,1,1,3,0,3,0,1,1,1,Error,Error
./tests/92660-92660-92660-92660-92660_clustered_xl_5.csv,Error,218196,218196,96660,92660,96660,92660,92660,92660,92660,92660,Error
./tests/1000-995-1000-995-995_star_intersections_9_2000.csv,Error,1000,1000,4988,994,4988,994,1000,1000,1000,994,Error
./tests/1-1-1-1-1_parallel_and_collinear_10.csv,Error,1,1,3,0,3,0,1,1,1,0,Error
./tests/500000-37686-500000-366115-45138_star_intersections_7_m_1000.csv,Error,210609,210519,122475,121475,122475,121475,122475,122475,Error,Error,Error
./tests/2294655-2294655-2294655-2294655-2294655_star_intersections_6_m_3000.csv,Error,2294655,2294655,2300655,2294655,2300655,2294655,2294655,2294655,2294655,2294655,Error
./tests/2775-2775-2775-2775-2775_rounding_s_5000.csv,Error,12497500,12497500,12777,2775,12777,2775,2775,2775,2775,2775,Error
./tests/556-556-556-556-556_rounding_l_1000.csv,Error,499500,499500,2557,556,2557,556,556,556,556,555,Error
./tests/0-0-0-0-0_parallel_and_collinear_7.csv,Error,0,0,4,0,4,0,0,0,0,0,Error
./tests/1500-1495-1500-1495-1495_star_intersections_9_3000.csv,Error,1500,1500,7488,1494,7488,1494,1500,1500,1500,1494,Error
./tests/117662-117662-117662-117662-117662_clustered_m_1.csv,Error,238077,238077,119662,117662,119662,117662,117662,117662,117662,117662,Error
./tests/2000000-106098-2000000-1461149-126885_star_intersections_7_m_2000.csv,Error,842635,842464,487837,485837,487837,485837,487837,487837,Error,Error,Error
./tests/7416835-19021-7998000-2001-2001_star_intersections_4_s_4000.csv,Error,8003428,8996001,4001,1,4001,1,1,1,7998000,0,Error
./tests/2-2-2-2-2_parallel_and_collinear_17.csv,Error,2,2,2,0,2,0,2,2,2,0,Error
./tests/3-2-3-3-2_star_intersections_2.csv,Error,3,3,9,3,9,3,3,3,3,3,Error
./tests/116711-116711-116711-116711-116711_random_m_1000.csv,Error,105030,105030,118711,116711,118711,116711,116711,116711,116711,116711,Error
./tests/6000-5866-6000-5935-5880_star_intersections_10_2000.csv,Error,6000,6000,9898,5949,9898,5949,6000,6000,6000,5949,Error
./tests/1041752-1041752-1041752-1041752-1041752_random_m_3000.csv,Error,990397,990397,1047752,1041752,1047752,1041752,1041752,1041752,1041752,1041752,Error
./tests/2000000-124691-2000000-1500025-152931_star_intersections_8_s_2000.csv,Error,842500,842783,501295,499295,501295,499295,501295,501295,Error,296326,Error
./tests/500000-38170-500000-365802-47236_star_intersections_7_l_1000.csv,Error,210598,210772,122368,121368,122368,121368,122368,122368,Error,96471,Error
./tests/115125-115125-115125-115125-115125_random_s_1000.csv,Error,108402,108402,117125,115125,117125,115125,115125,115125,115125,115125,Error
./tests/2839965-2839965-2839965-2839965-2839965_clustered_xxxxxxxl_1.csv,Error,4767448,4767448,2849965,2839965,2849965,2839965,2839965,2839965,2839965,2839965,Error
./tests/300947-300947-300947-300947-300947_clustered_xxxl_5.csv,Error,773760,773760,306947,300947,306947,300947,300947,300947,300947,300947,Error
./tests/750-742-750-742-742_star_intersections_9_1500.csv,Error,750,750,3732,741,3732,741,750,750,750,741,Error
./tests/1111-1111-1111-1111-1111_rounding_l_2000.csv,Error,1999000,1999000,5113,1111,5113,1111,1111,1111,1111,1111,Error
./tests/4500000-224885-4500000-3375132-275762_star_intersections_8_m_3000.csv,Error,1895461,1895268,1126970,1123970,1126970,1123970,1126970,1126970,Error,509402,Error
./tests/2-2-2-2-2_parallel_and_collinear_4.csv,Error,2,2,4,0,4,0,2,2,2,0,Error
./tests/8000000-302557-8000000-5837259-372742_star_intersections_7_l_4000.csv,Error,3370970,3371670,1947249,1943249,1947249,1943249,1947249,1947249,Error,637617,Error
./tests/1111-1111-1111-1111-1111_rounding_m_2000.csv,Error,1999000,1999000,5113,1111,5113,1111,1111,1111,1111,1111,Error
./tests/2000000-124514-2000000-1500140-157725_star_intersections_8_l_2000.csv,Error,842502,842792,501344,499344,501344,499344,501344,501344,Error,313376,Error
./tests/1017289-1017289-1017289-1017289-1017289_clustered_xxxl_1.csv,Error,2130563,2130563,1023289,1017289,1023289,1017289,1017289,1017289,1017289,1017289,Error
./tests/1009947-1009947-1009947-1009947-1009947_star_intersections_6_l_2000.csv,Error,1009947,1009947,1013947,1009947,1013947,1009947,1009947,1009947,1009947,1009947,Error
./tests/555-555-555-555-555_rounding_s_1000.csv,Error,499500,499500,2557,555,2557,555,555,555,555,555,Error
./tests/1750-1743-1750-1743-1743_star_intersections_9_3500.csv,Error,1750,1750,8736,1743,8736,1743,1750,1750,1750,1743,Error
./tests/250-248-250-248-248_star_intersections_9_500.csv,Error,250,250,1244,247,1244,247,250,250,250,247,Error
./tests/13500-13464-13500-13466-13464_star_intersections_10_4500.csv,Error,13500,13500,22458,13479,22458,13479,13500,13500,13500,13479,Error
./tests/2-2-2-2-2_parallel_and_collinear_5.csv,Error,2,2,4,0,4,0,2,2,2,0,Error
./tests/1841642-1841642-1841642-1841642-1841642_random_m_4000.csv,Error,1725903,1725903,1849642,1841642,1849642,1841642,1841642,1841642,1841642,1841642,Error
./tests/10500-10466-10500-10474-10467_star_intersections_10_3500.csv,Error,10500,10500,17454,10477,17454,10477,10500,10500,10500,10477,Error
./tests/555-555-555-555-555_rounding_m_1000.csv,Error,499500,499500,2557,555,2557,555,555,555,555,555,Error
./tests/2000000-107339-2000000-1461550-132721_star_intersections_7_l_2000.csv,Error,842615,842961,487978,485978,487978,485978,487978,487978,Error,244294,Error
./tests/255428-255370-255428-255370-255370_star_intersections_6_s_1000.csv,Error,255428,255428,257246,255329,257246,255329,255400,255400,255428,255345,Error
./tests/84947-84947-84947-84947-84947_clustered_xl_10.csv,Error,223477,223477,88947,84947,88947,84947,84947,84947,84947,84947,Error
./tests/248267-248267-248267-248267-248267_star_intersections_6_l_1000.csv,Error,248267,248267,250267,248267,250267,248267,248267,248267,248267,248267,Error
./tests/16500-16416-16500-16460-16426_star_intersections_10_5500.csv,Error,16500,16500,27436,16468,27436,16468,16500,16500,16500,16468,Error
./tests/3-2-3-2-2_multi_axis_5.csv,Error,3,3,5,1,5,1,1,1,3,0,Error
./tests/1884847-1884847-1884847-1884847-1884847_random_l_4000.csv,Error,1692992,1692992,1892847,1884847,1892847,1884847,1884847,1884847,1884847,1884847,Error
./tests/2220-2220-2220-2220-2220_rounding_s_4000.csv,Error,7998000,7998000,10222,2220,10222,2220,2220,2220,2220,2220,Error
./tests/462787-2460-499500-501-501_star_intersections_4_s_1000.csv,Error,499762,561501,1001,1,1001,1,1,1,499500,0,Error
./tests/11822199-27676-12497500-2501-2501_star_intersections_4_l_5000.csv,Error,12497500,14057501,5001,1,5001,1,1,1,12497500,0,Error
./tests/2-2-2-2-2_parallel_and_collinear_3.csv,Error,2,2,2,0,2,0,2,2,2,0,Error
./tests/6251163-6251163-6251163-6251163-6251163_star_intersections_6_m_5000.csv,Error,6251163,6251163,6261163,6251163,6261163,6251163,6251163,6251163,6251163,6251163,Error
./tests/1005993-1005993-1005993-1005993-1005993_star_intersections_6_m_2000.csv,Error,1005993,1005993,1009993,1005993,1009993,1005993,1005993,1005993,1005993,1005993,Error
./tests/4178686-12323-4498500-1501-1501_star_intersections_4_m_3000.csv,Error,4498500,5059501,3001,1,3001,1,1,1,4498500,0,Error
./tests/0-0-0-0-0_multi_axis_1.csv,Error,0,0,2,0,2,0,0,0,0,0,Error
./tests/139488-139488-139488-139488-139488_clustered_xxxl_10.csv,Error,432730,432730,145488,139488,145488,139488,139488,139488,139488,139488,Error
./tests/1-1-1-1-1_length_0_4.csv,Error,1,1,Error,Error,Error,Error,1,1,2,0,Error
./tests/0-0-0-0-0_parallel_and_collinear_20.csv,Error,1,1,4,0,4,0,0,0,0,0,Error
./tests/8000000-343871-8000000-5999614-418435_star_intersections_8_m_4000.csv,Error,3370713,3370315,2002394,1998394,2002394,1998394,2002394,2002394,Error,Error,Error
./tests/3983232-3983232-3983232-3983232-3983232_star_intersections_6_m_4000.csv,Error,3983232,3983232,3991232,3983232,3991232,3983232,3983232,3983232,3983232,3983232,Error
./tests/3996408-3996408-3996408-3996408-3996408_star_intersections_6_l_4000.csv,Error,3996408,3996408,4004408,3996408,4004408,3996408,3996408,3996408,3996408,3996408,Error
./tests/4256775-13230-4498500-1501-1501_star_intersections_4_l_3000.csv,Error,4498500,5059501,3001,1,3001,1,1,1,4498500,0,Error
./tests/3250-3242-3250-3242-3242_star_intersections_9_6500.csv,Error,3250,3250,16234,3242,16234,3242,3250,3250,3250,3242,Error
./tests/461035-461035-461035-461035-461035_random_m_2000.csv,Error,432178,432178,465035,461035,465035,461035,461035,461035,461035,461035,Error
./tests/0-0-0-0-0_multi_axis_2.csv,Error,0,0,2,0,2,0,0,0,0,0,Error
./tests/19500-19459-19500-19461-19461_star_intersections_10_6500.csv,Error,19500,19500,32424,19462,32424,19462,19500,19500,19500,19462,Error
./tests/0-0-0-0-0_accuracy_2.csv,Error,1,1,4,0,4,0,0,0,0,Error,Error
./tests/1110-1110-1110-1110-1110_rounding_s_2000.csv,Error,1999000,1999000,5112,1110,5112,1110,1110,1110,1110,1110,Error
./tests/4500000-228417-4500000-3375243-282040_star_intersections_8_s_3000.csv,Error,1895415,1895991,1127021,1124021,1127021,1124021,1127021,1127021,Error,514239,Error
./tests/15000-14893-15000-14954-14910_star_intersections_10_5000.csv,Error,15000,15000,24962,14981,24962,14981,15000,15000,15000,14981,Error
./tests/1084203-1084203-1084203-1084203-1084203_random_s_3000.csv,Error,967213,967213,1090203,1084203,1090203,1084203,1084203,1084203,1084203,1084203,Error
./tests/3000-2977-3000-2986-2976_star_intersections_10_1000.csv,Error,3000,3000,4970,2985,4970,2985,3000,3000,3000,2985,Error
./tests/2000000-122072-2000000-1500272-148870_star_intersections_8_m_2000.csv,Error,842514,842768,501394,499394,501394,499394,501394,501394,Error,Error,Error
./tests/1667-1667-1667-1667-1667_rounding_m_3000.csv,Error,4498500,4498500,7669,1667,7669,1667,1667,1667,1667,1667,Error
./tests/1-1-1-1-1_multi_axis_8.csv,Error,1,1,3,0,3,0,1,1,1,0,Error
./tests/3-2-3-2-2_parallel_and_collinear_11.csv,Error,1,1,6,1,6,1,1,1,3,1,Error
./tests/1667-1667-1667-1667-1667_rounding_l_3000.csv,Error,4498500,4498500,7669,1667,7669,1667,1667,1667,1667,1667,Error
./tests/500000-43666-500000-375206-53797_star_intersections_8_s_1000.csv,Error,210533,210426,125730,124730,125730,124730,125730,125730,Error,107785,Error
./tests/1-1-1-1-1_length_0_2.csv,Error,1,1,Error,Error,Error,Error,1,1,2,0,Error
./tests/1-1-1-1-1_length_0_3.csv,Error,1,1,Error,Error,Error,Error,1,1,2,0,Error
./tests/1250-1244-1250-1244-1244_star_intersections_9_2500.csv,Error,1250,1250,6236,1243,6236,1243,1250,1250,1250,1243,Error
./tests/2500-2493-2500-2494-2493_star_intersections_9_5000.csv,Error,2500,2500,12486,2493,12486,2493,2500,2500,2500,2493,Error
./tests/3500-3493-3500-3494-3493_star_intersections_9_7000.csv,Error,3500,3500,17486,3493,17486,3493,3500,3500,3500,3493,Error
./tests/484915-484915-484915-484915-484915_clustered_xxxxxl_5.csv,Error,1259883,1259883,492915,484915,492915,484915,484915,484915,484915,484915,Error
./tests/1-1-1-1-1_parallel_and_collinear_9.csv,Error,1,1,3,0,3,0,1,1,1,0,Error
./tests/2778-2778-2778-2778-2778_rounding_l_5000.csv,Error,12497500,12497500,12780,2778,12780,2778,2778,2778,2778,2778,Error
./tests/2778-2778-2778-2778-2778_rounding_m_5000.csv,Error,12497500,12497500,12780,2778,12780,2778,2778,2778,2778,2778,Error
./tests/464459-464459-464459-464459-464459_clustered_xl_1.csv,Error,683739,683739,468459,464459,468459,464459,464459,464459,464459,464459,Error
./tests/3-2-3-2-2_star_intersections_1.csv,Error,3,3,7,1,7,1,1,1,3,3,Error
./tests/4500000-195758-4500000-3326458-238153_star_intersections_7_s_3000.csv,Error,1895467,1896030,1110002,1107002,1110002,1107002,1110002,1110002,Error,415961,Error
./tests/2214179-2214179-2214179-2214179-2214179_star_intersections_6_l_3000.csv,Error,2214179,2214179,2220179,2214179,2220179,2214179,2214179,2214179,2214179,2214179,Error
./tests/0-0-0-0-0_accuracy_4.csv,Error,1,1,4,0,4,0,0,0,0,Error,Error
./tests/0-0-0-0-0_parallel_and_collinear_19.csv,Error,1,1,4,0,4,0,0,0,0,0,Error
./tests/500-494-500-494-494_star_intersections_9_1000.csv,Error,500,500,2486,493,2486,493,500,500,500,493,Error
./tests/0-0-0-0-0_parallel_and_collinear_18.csv,Error,1,1,4,0,4,0,0,0,0,0,Error
./tests/458125-458125-458125-458125-458125_clustered_xxxxxxxl_10.csv,Error,1211846,1211846,468125,458125,468125,458125,458125,458125,458125,458125,Error
./tests/1-1-2-2-2_accuracy_6.csv,Error,2,2,2,0,2,0,2,2,2,Error,Error
./tests/2750-2736-2750-2738-2737_star_intersections_9_5500.csv,Error,2750,2750,13726,2738,13726,2738,2750,2750,2750,2738,Error
./tests/250470-250470-250470-250470-250470_star_intersections_6_m_1000.csv,Error,250470,250470,252470,250470,252470,250470,250470,250470,250470,250470,Error
./tests/18000-17979-18000-17982-17979_star_intersections_10_6000.csv,Error,18000,18000,29963,17982,29963,17982,17998,17998,18000,17981,Error
./tests/4500000-197926-4500000-3325808-248674_star_intersections_7_l_3000.csv,Error,1895502,1896032,1109790,1106790,1109790,1106790,1109790,1109790,Error,452732,Error
./tests/8000000-299707-8000000-5833825-362645_star_intersections_7_s_4000.csv,Error,3370982,3371677,1946089,1942089,1946089,1942089,1946089,1946089,Error,638694,Error
./tests/4500000-196292-4500000-3323410-236614_star_intersections_7_m_3000.csv,Error,1895517,1895283,1108972,1105972,1108972,1105972,1108972,1108972,Error,397050,Error
./tests/3750-3741-3750-3741-3741_star_intersections_9_7500.csv,Error,3750,3750,18730,3740,18730,3740,3750,3750,3750,3740,Error
./tests/12500000-435305-12500000-9168192-530025_star_intersections_7_s_5000.csv,Error,5266831,5267637,3057908,3052908,3057908,3052908,3057908,3057908,Error,1029977,Error
./tests/12500000-497588-12500000-9374063-606042_star_intersections_8_m_5000.csv,Error,5266564,5267305,3127815,3122815,3127815,3122815,3127815,3127815,Error,1192359,Error
./tests/12500000-499036-12500000-9374121-613847_star_intersections_8_s_5000.csv,Error,5266499,5266059,3127819,3122819,3127819,3122819,3127819,3127819,Error,1194524,Error
./tests/12500000-499381-12500000-9373704-630160_star_intersections_8_l_5000.csv,Error,5266521,5266098,3127680,3122680,3127680,3122680,3127680,3127680,Error,Error,Error
./tests/8000000-347865-8000000-5999379-438633_star_intersections_8_l_4000.csv,Error,3370692,3370313,2002311,1998311,2002311,1998311,2002311,2002311,Error,859393,Error
./tests/12500000-438565-12500000-9157240-544812_star_intersections_7_l_5000.csv,Error,5266783,5267668,3054260,3049260,3054260,3049260,3054260,3054260,Error,1053912,Error
./tests/12500000-435224-12500000-9164219-523066_star_intersections_7_m_5000.csv,Error,5266808,5266406,3056569,3051569,3056569,3051569,3056569,3056569,Error,Error,Error
