File,Bo_d,Boost_d,Boost_r,Cgal_intersector_ud,Cgal_arrangement_ud,Cgal_intersector_ur,Cgal_arrangement_ur,Cgal_pairwise_ud,Cgal_pairwise_ur,Geo_d,Ogdf_ud,Sweeper
./tests/0-0-0-0-0_parallel_and_collinear_2.csv,Error,114688,163840,311296,409600,393216,507904,16384,0,0,114688,Error
./tests/120169-120169-120169-120169-120169_random_l_1000.csv,Error,475136,737280,45957120,160153600,33374208,148226048,31260672,27246592,229376,53477376,Error
./tests/472623-2876-499500-501-501_star_intersections_4_l_1000.csv,Error,475136,819200,2211840,2768896,1490944,2064384,491520,344064,229376,1064960,Error
./tests/2891750-2891750-2891750-2891750-2891750_random_l_5000.csv,Error,442368,-245760,1012580352,3783753728,730611712,3526262784,743079936,649838592,933888,1287897088,Error
./tests/2250-2241-2250-2241-2241_star_intersections_9_4500.csv,Error,360448,-98304,5996544,10108928,4931584,9273344,1654784,802816,802816,8126464,Error
./tests/2262532-2261787-2262532-2261787-2261787_star_intersections_6_s_3000.csv,Error,475136,671744,726188032,2904621056,507248640,2701361152,595558400,436387840,Error,1056358400,Error
./tests/8000000-350292-8000000-5999154-429994_star_intersections_8_s_4000.csv,Error,-393216,16384,717979648,2673180672,578289664,2471641088,710819840,515440640,Error,122404864,Error
./tests/23790-23790-23790-23790-23790_clustered_m_5.csv,Error,442368,770048,11747328,34586624,8945664,31817728,6455296,6176768,229376,12206080,Error
./tests/323970-323970-323970-323970-323970_clustered_xxxxxl_10.csv,Error,409600,671744,131268608,434274304,97697792,403111936,83591168,83214336,753664,153042944,Error
./tests/3000-2988-3000-2988-2988_star_intersections_9_6000.csv,Error,344064,819200,7847936,13107200,6324224,11976704,1835008,819200,1064960,10518528,Error
./tests/2985982-2985982-2985982-2985982-2985982_random_m_5000.csv,Error,-524288,-475136,1087864832,3934060544,788791296,3682729984,767361024,721846272,884736,1323335680,Error
./tests/0-0-0-0-0_parallel_and_collinear_1.csv,Error,65536,163840,311296,376832,409600,491520,16384,16384,0,114688,Error
./tests/4173105-12497-4498500-1501-1501_star_intersections_4_s_3000.csv,Error,524288,770048,4620288,5750784,2949120,4079616,442368,311296,524288,3194880,Error
./tests/2000-1982-2000-1980-1980_star_intersections_9_4000.csv,Error,540672,770048,5226496,8978432,4292608,7798784,1638400,753664,704512,7487488,Error
./tests/9000-8966-9000-8973-8961_star_intersections_10_3000.csv,Error,409600,884736,7061504,17055744,5144576,14499840,3489792,1867776,524288,8880128,Error
